Class,AUC,F1,Precision,Recall,Specificity,AUPRC,Threshold
NORM,0.9509326875780393,0.8621190130624092,0.8070652173913043,0.9252336448598131,0.8275303643724696,0.9296161652564496,0.6599999999999997
MI,0.9297451456310679,0.7456382001836547,0.7532467532467533,0.7381818181818182,0.9192961165048543,0.8382965266330666,0.5299999999999998
STTC,0.9354145058354124,0.7567567567567568,0.7160493827160493,0.8023715415019763,0.9048463356973995,0.8217095038024339,0.5699999999999997
CD,0.9094660930214926,0.756319514661274,0.7586206896551724,0.7540322580645161,0.9300822561692127,0.8247789845560156,0.6399999999999997
HYP,0.9033184026244401,0.5836065573770491,0.5114942528735632,0.6793893129770993,0.9121900826446281,0.6562590380027256,0.7599999999999997
