Model,Macro-AUC,Macro-F1,AUPRC,Accuracy,Sensitivity,Specificity,Params(M),Inference(ms)
resnet1d,0.9257753669380906,0.7408880084082288,0.8141320436501382,0.7643312101910829,0.7798417151170447,0.8987890310777129,8.914053,0.23472949387850583
patchtst,0.9100035279900703,0.7099292260414833,0.772849465471009,0.7402183803457689,0.7458366426713173,0.8939015694713313,0.819589,0.7051175158433239
cnn_transformer,0.9263525840692056,0.7381968669187149,0.8080703081901142,0.7602365787079163,0.7958808230454644,0.8874191149920856,3.729349,0.4274962421017464
