Class,AUC,F1,Precision,Recall,Specificity,AUPRC,Threshold
NORM,0.9364746637742211,0.8474923234390993,0.8355196770938446,0.8598130841121495,0.8680161943319838,0.9019028657915341,0.6299999999999997
MI,0.911963812886143,0.7251063829787234,0.6816,0.7745454545454545,0.879247572815534,0.7963952340466737,0.5199999999999998
STTC,0.9268225735617039,0.7242718446601941,0.7118320610687023,0.7371541501976284,0.9107565011820331,0.7944256230982453,0.7699999999999997
CD,0.8975090974565028,0.6832174776564052,0.6731898238747553,0.6935483870967742,0.9018801410105758,0.7844800568999707,0.7599999999999997
HYP,0.877247492271781,0.5695581014729951,0.498567335243553,0.6641221374045801,0.9096074380165289,0.5870435475186212,0.5699999999999997
